City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Kontagora,NG,10.4,5.47,69.82,41,46,4.9,scattered clouds
84,Mugla,TR,37.23,28.36,55.4,87,0,1.12,clear sky
85,Sioux Lookout,CA,50.1,-91.92,59.0,72,75,10.29,broken clouds
86,Flin Flon,CA,54.77,-101.86,12.2,95,100,17.72,snow
87,Mandalgovi,MN,45.76,106.27,40.82,58,7,11.41,clear sky
88,Bluff,NZ,-46.6,168.33,55.0,73,52,7.0,broken clouds
89,Jamestown,US,42.1,-79.24,51.8,57,1,5.82,clear sky
90,Entre Rios,BR,-11.94,-38.08,68.95,95,15,2.95,few clouds
91,Iqaluit,CA,63.75,-68.51,15.8,85,90,25.28,light snow
92,Santa Fe,AR,-31.63,-60.7,69.01,80,100,1.01,light rain
93,Pisco,PE,-13.7,-76.22,60.8,93,86,4.7,overcast clouds
94,Tuktoyaktuk,CA,69.45,-133.04,8.6,84,90,23.04,light snow
95,Dingle,PH,11.0,122.67,84.99,74,90,2.57,overcast clouds
96,Azatavan,AM,39.98,44.51,42.8,70,0,1.12,clear sky
97,Muroto,JP,33.28,134.15,64.4,36,20,14.99,few clouds
98,Fairbanks,US,64.84,-147.72,32.0,98,90,3.36,mist
99,Baykit,RU,61.67,96.37,37.89,88,100,11.7,light rain
100,Luanda,AO,-8.84,13.23,75.2,94,75,3.36,broken clouds
101,Bolu,TR,40.67,31.58,50.79,47,0,1.88,clear sky
102,Rundu,NA,-17.93,19.77,76.39,57,65,8.01,broken clouds
103,Yangambi,CD,0.81,24.43,71.92,98,100,2.51,overcast clouds
104,Beloha,MG,-25.17,45.05,93.65,19,0,12.01,clear sky
105,Hebi,CN,35.9,114.19,66.63,24,58,5.32,broken clouds
106,Chipiona,ES,36.74,-6.44,62.6,93,75,3.36,broken clouds
107,Ponta Do Sol,PT,32.67,-17.1,64.4,63,20,12.75,few clouds
108,Khatanga,RU,71.97,102.5,13.84,93,100,18.52,overcast clouds
109,Binzhou,CN,37.37,118.02,66.0,21,0,1.99,clear sky
110,Mahebourg,MU,-20.41,57.7,75.2,83,75,11.41,shower rain
111,Kodiak,US,57.79,-152.41,44.6,45,1,47.2,clear sky
112,Sandwick,GB,60.0,-1.25,51.8,87,100,12.75,overcast clouds
113,Carnarvon,AU,-24.87,113.63,77.0,53,40,18.34,scattered clouds
114,Igarka,RU,67.47,86.58,28.56,99,100,7.87,overcast clouds
115,Lodja,CD,-3.48,23.43,72.27,95,100,4.12,overcast clouds
116,Tuy Hoa,VN,13.08,109.3,75.18,90,98,16.75,moderate rain
117,Fortuna,US,40.6,-124.16,41.0,71,1,4.7,clear sky
118,Yar-Sale,RU,66.83,70.83,17.87,97,92,7.99,overcast clouds
119,Solnechnyy,RU,50.72,136.63,15.75,78,30,4.9,scattered clouds
