City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Kudat,MY,84.2,few clouds,6.88,116.85,Dream Garden Hotel
229,Quatre Cocos,MU,79.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
233,Balsas,BR,75.11,clear sky,-7.53,-46.04,Novo Hotel
234,Araouane,ML,75.11,clear sky,18.9,-3.53,
235,Malakal,SS,81.72,scattered clouds,9.53,31.66,Nile Palace Hotel
236,Coahuayana,MX,73.53,few clouds,18.73,-103.68,Hotel Los Arcos
239,Kumluca,TR,70.39,clear sky,36.37,30.29,TurkuazKöy
241,Jizan,SA,82.4,clear sky,17.33,42.67,شهدان. ابوالحجر
245,Olinda,BR,77.0,broken clouds,-8.01,-34.86,Hotel 5 Sóis
248,Manggar,ID,85.23,overcast clouds,-2.88,108.27,Guest Hotel
249,Loudi,CN,70.99,clear sky,27.73,111.99,Till Bright Hotel
255,Barra Do Garcas,BR,73.74,light rain,-15.89,-52.26,Hotel Pousada Tropical
258,Mount Gambier,AU,84.2,overcast clouds,-37.83,140.77,Commodore on the Park
260,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
264,Seddon,AU,84.99,scattered clouds,-37.81,144.89,AKOM AT DOCKLANDS
266,Daud Khel,PK,79.65,clear sky,32.88,71.57,MLCFL CFPP Hostel 6
267,Ixtapa,MX,77.0,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
268,Diffa,NE,70.27,clear sky,13.32,12.61,ProDAF/Diffa
269,Sibolga,ID,82.67,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
273,Saint-Pierre,RE,80.6,few clouds,-21.34,55.48,Lindsey Hôtel
279,Tual,ID,84.38,overcast clouds,-5.67,132.75,Grand Vilia Hotel
280,Itarema,BR,80.94,clear sky,-2.92,-39.92,Windvillage
288,Auki,SB,82.22,light rain,-8.77,160.7,Auki Motel
292,Songadh,IN,87.57,clear sky,21.17,73.57,SPOT ON 61520 Shivam Guest House
293,Garowe,SO,80.49,clear sky,8.41,48.48,Curubo Hotel
299,Fayaoue,NC,75.24,clear sky,-20.65,166.53,Chez Dydyce Guesthouse
300,Acapulco,MX,78.24,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
305,Sakaraha,MG,89.28,clear sky,-22.9,44.53,Le Relais
309,Hervey Bay,AU,75.0,scattered clouds,-25.3,152.85,Shelly Bay Resort
310,Son La,VN,76.68,clear sky,21.32,103.9,Galaxy Grand Hotel
312,Codrington,AU,76.19,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
